company_name,symbol,date,close,score,trend_long,rsi_14,rsi_state,macd_hist,dist_to_52w_high,drawdown,vol_20
ACL Cables PLC,ACL,2026-02-04,82.4,0,DOWN,,NORMAL,0.0,,0.0,
ACL Plastics PLC,APLA,2026-02-04,413.5,0,DOWN,,NORMAL,0.0,,0.0,
ACME Printing and Packaging PLC,ACME,2026-02-04,5.4,0,DOWN,,NORMAL,0.0,,0.0,
Abans Electricals PLC,ABAN,2026-02-04,208.0,0,DOWN,,NORMAL,0.0,,0.0,
Abans Finance PLC,AFSL,2026-02-04,20.8,0,DOWN,,NORMAL,0.0,,0.0,
Access Engineering PLC,AEL,2026-02-04,22.3,0,DOWN,,NORMAL,0.0,,0.0,
AgStar PLC,AGST,2026-02-04,7.7,0,DOWN,,NORMAL,0.0,,0.0,
Agalawatte Plantations PLC,AGAL,2026-02-04,33.3,0,DOWN,,NORMAL,0.0,,0.0,
Agarapatana Plantations Limited,AGPL,2026-02-04,7.2,0,DOWN,,NORMAL,0.0,,0.0,
Aitken Spence Hotel Holdings PLC,AHUN,2026-02-04,63.0,0,DOWN,,NORMAL,0.0,,0.0,
Aitken Spence PLC,SPEN,2026-02-04,125.0,0,DOWN,,NORMAL,0.0,,0.0,
Alliance Finance Company PLC,ALLI,2026-02-04,99.4,0,DOWN,,NORMAL,0.0,,0.0,
Alpha Fire Services PLC,AFS,2026-02-04,6.7,0,DOWN,,NORMAL,0.0,,0.0,
Alumex PLC,ALUM,2026-02-04,11.5,0,DOWN,,NORMAL,0.0,,0.0,
Ambeon Capital PLC,TAP,2026-02-04,12.4,0,DOWN,,NORMAL,0.0,,0.0,
Ambeon Holdings PLC,GREG,2026-02-04,38.7,0,DOWN,,NORMAL,0.0,,0.0,
Amãna Bank PLC,ABL,2026-02-04,21.1,0,DOWN,,NORMAL,0.0,,0.0,
Amãna Takaful Life PLC,ATLL,2026-02-04,24.2,0,DOWN,,NORMAL,0.0,,0.0,
Amãna Takaful PLC,ATL,2026-02-04,11.5,0,DOWN,,NORMAL,0.0,,0.0,
Arpico Insurance PLC,AINS,2026-02-04,20.2,0,DOWN,,NORMAL,0.0,,0.0,
